state,Year,Quater,categories,type,count,amount
andhra-pradesh,2019,Q2,Financial Services,TOTAL,145310,26626696.771042537
andhra-pradesh,2019,Q2,Others,TOTAL,448802,361492238.3966455
andhra-pradesh,2019,Q3,Peer-to-peer payments,TOTAL,39023491,124338645329.51532
andhra-pradesh,2019,Q3,Recharge & bill payments,TOTAL,20147629,6893984676.598906
andhra-pradesh,2019,Q3,Merchant payments,TOTAL,16581787,7887394038.066369
andhra-pradesh,2019,Q3,Financial Services,TOTAL,122270,29778183.027080443
andhra-pradesh,2019,Q3,Others,TOTAL,413437,298142027.58625776
andhra-pradesh,2019,Q4,Peer-to-peer payments,TOTAL,57181511,178893550050.68753
andhra-pradesh,2019,Q4,Merchant payments,TOTAL,25122370,13476303367.50486
andhra-pradesh,2019,Q4,Recharge & bill payments,TOTAL,24469888,8335168605.691999
andhra-pradesh,2019,Q4,Financial Services,TOTAL,105662,26796571.745749157
andhra-pradesh,2019,Q4,Others,TOTAL,338672,216496893.1610288
andhra-pradesh,2020,Q1,Peer-to-peer payments,TOTAL,65452143,223088554055.04755
andhra-pradesh,2020,Q1,Merchant payments,TOTAL,31408022,18603161784.496998
andhra-pradesh,2020,Q1,Recharge & bill payments,TOTAL,30449644,10813530777.973532
andhra-pradesh,2020,Q1,Financial Services,TOTAL,75238,43739133.169823855
andhra-pradesh,2020,Q1,Others,TOTAL,292310,188228538.3748977
andhra-pradesh,2020,Q2,Peer-to-peer payments,TOTAL,73609921,262731724130.7907
andhra-pradesh,2020,Q2,Recharge & bill payments,TOTAL,41013987,16991006436.573467
andhra-pradesh,2020,Q2,Merchant payments,TOTAL,29976765,22625596525.44269
andhra-pradesh,2020,Q2,Financial Services,TOTAL,140941,145274999.15679634
andhra-pradesh,2020,Q2,Others,TOTAL,176241,90087654.6000998
andhra-pradesh,2020,Q3,Peer-to-peer payments,TOTAL,106791894,406461788252.32056
andhra-pradesh,2020,Q3,Merchant payments,TOTAL,54055557,40739580213.86052
andhra-pradesh,2020,Q3,Recharge & bill payments,TOTAL,43500067,19475104674.82717
andhra-pradesh,2020,Q3,Financial Services,TOTAL,243088,256074924.7187529
andhra-pradesh,2020,Q3,Others,TOTAL,312329,151582519.18136686
andhra-pradesh,2020,Q4,Peer-to-peer payments,TOTAL,152003791,566639138543.7708
andhra-pradesh,2020,Q4,Merchant payments,TOTAL,86581460,66654048149.95168
andhra-pradesh,2020,Q4,Recharge & bill payments,TOTAL,46810304,20936337211.557747
andhra-pradesh,2020,Q4,Financial Services,TOTAL,265470,305168772.45601684
andhra-pradesh,2020,Q4,Others,TOTAL,457527,306853355.59473807
andhra-pradesh,2021,Q1,Peer-to-peer payments,TOTAL,149313738,580542193013.0018
andhra-pradesh,2021,Q1,Merchant payments,TOTAL,97920281,70813192713.43477
andhra-pradesh,2021,Q1,Recharge & bill payments,TOTAL,41940689,20546424964.14482
andhra-pradesh,2021,Q1,Financial Services,TOTAL,225355,270313028.48452014
andhra-pradesh,2021,Q1,Others,TOTAL,347907,272546457.5502677
andhra-pradesh,2021,Q2,Peer-to-peer payments,TOTAL,189614879,737004484057.439
andhra-pradesh,2021,Q2,Merchant payments,TOTAL,112875274,88512429436.91248
andhra-pradesh,2021,Q2,Recharge & bill payments,TOTAL,49626902,24646800345.106976
andhra-pradesh,2021,Q2,Financial Services,TOTAL,243237,265483044.40124667
andhra-pradesh,2021,Q2,Others,TOTAL,406842,308302224.3856007
andhra-pradesh,2021,Q3,Peer-to-peer payments,TOTAL,221280317,837841124664.307
andhra-pradesh,2021,Q3,Merchant payments,TOTAL,158290953,118164377968.16754
andhra-pradesh,2021,Q3,Recharge & bill payments,TOTAL,51702350,27511344958.24361
andhra-pradesh,2021,Q3,Financial Services,TOTAL,211171,297239697.83073866
andhra-pradesh,2021,Q3,Others,TOTAL,547759,403948275.56756073
andhra-pradesh,2021,Q4,Peer-to-peer payments,TOTAL,262006450,971269765249.1282
andhra-pradesh,2021,Q4,Merchant payments,TOTAL,207538904,152883933596.5386
andhra-pradesh,2021,Q4,Recharge & bill payments,TOTAL,51762842,31232784713.985798
andhra-pradesh,2021,Q4,Financial Services,TOTAL,243951,332740108.6635881
andhra-pradesh,2021,Q4,Others,TOTAL,701856,545223415.6638832
andhra-pradesh,2022,Q1,Peer-to-peer payments,TOTAL,288488560,1089629182596.478
andhra-pradesh,2022,Q1,Merchant payments,TOTAL,242031836,169419685917.19562
andhra-pradesh,2022,Q1,Recharge & bill payments,TOTAL,51224170,34473036841.83001
andhra-pradesh,2022,Q1,Financial Services,TOTAL,231651,324358965.11859065
andhra-pradesh,2022,Q1,Others,TOTAL,627694,474382234.25397474
andhra-pradesh,2022,Q2,Peer-to-peer payments,TOTAL,321362337,1231408926513.7114
andhra-pradesh,2022,Q2,Merchant payments,TOTAL,292530048,205433660654.20895
andhra-pradesh,2022,Q2,Recharge & bill payments,TOTAL,56606969,42408541939.06145
andhra-pradesh,2022,Q2,Financial Services,TOTAL,192751,245783011.04455265
andhra-pradesh,2022,Q2,Others,TOTAL,441925,357036084.9071137
andhra-pradesh,2022,Q3,Peer-to-peer payments,TOTAL,298804000,1140164525892.7395
andhra-pradesh,2022,Q3,Merchant payments,TOTAL,291033653,202910820650.0824
andhra-pradesh,2022,Q3,Recharge & bill payments,TOTAL,52467708,41438764826.20322
andhra-pradesh,2022,Q3,Financial Services,TOTAL,187190,239347241.54655045
andhra-pradesh,2022,Q3,Others,TOTAL,362484,323951101.5715289
andhra-pradesh,2022,Q4,Merchant payments,TOTAL,321632104,211898851397.09848
andhra-pradesh,2022,Q4,Peer-to-peer payments,TOTAL,315734006,1170249585983.0112
andhra-pradesh,2022,Q4,Recharge & bill payments,TOTAL,52098850,41986837706.47902
andhra-pradesh,2022,Q4,Financial Services,TOTAL,206459,250596592.06465048
andhra-pradesh,2022,Q4,Others,TOTAL,345658,339211363.0027188
andhra-pradesh,2023,Q1,Merchant payments,TOTAL,540680395,311606731877.0
andhra-pradesh,2023,Q1,Peer-to-peer payments,TOTAL,514931308,1857818168755.0
andhra-pradesh,2023,Q1,Recharge & bill payments,TOTAL,89143939,78817989795.0
andhra-pradesh,2023,Q1,Financial Services,TOTAL,288150,331233097.0
andhra-pradesh,2023,Q1,Others,TOTAL,488672,477193006.0
andhra-pradesh,2023,Q2,Merchant payments,TOTAL,634303064,349602824539.0
andhra-pradesh,2023,Q2,Peer-to-peer payments,TOTAL,573455382,2067288068882.0
andhra-pradesh,2023,Q2,Recharge & bill payments,TOTAL,97202487,88352183038.0
andhra-pradesh,2023,Q2,Financial Services,TOTAL,316533,386071375.0
andhra-pradesh,2023,Q2,Others,TOTAL,379498,409939082.0
arunachal-pradesh,2018,Q1,Recharge & bill payments,TOTAL,28729,5184132.514934338
arunachal-pradesh,2018,Q1,Peer-to-peer payments,TOTAL,13320,82889682.72418305
arunachal-pradesh,2018,Q1,Merchant payments,TOTAL,1042,2420374.1905855755
arunachal-pradesh,2018,Q1,Financial Services,TOTAL,416,58893.76201533088
arunachal-pradesh,2018,Q1,Others,TOTAL,1990,1834252.817690888
arunachal-pradesh,2018,Q2,Recharge & bill payments,TOTAL,50700,10468878.537107185
arunachal-pradesh,2018,Q2,Peer-to-peer payments,TOTAL,26477,181576281.19464755
arunachal-pradesh,2018,Q2,Merchant payments,TOTAL,2378,4718953.439561011
arunachal-pradesh,2018,Q2,Financial Services,TOTAL,559,363761.801595492
arunachal-pradesh,2018,Q2,Others,TOTAL,2043,1842317.369135248
arunachal-pradesh,2018,Q3,Recharge & bill payments,TOTAL,74122,15997565.906016495
arunachal-pradesh,2018,Q3,Peer-to-peer payments,TOTAL,49740,308106303.45342577
arunachal-pradesh,2018,Q3,Merchant payments,TOTAL,4738,5505694.567913429
arunachal-pradesh,2018,Q3,Financial Services,TOTAL,507,72133.845254878
arunachal-pradesh,2018,Q3,Others,TOTAL,2039,2044708.9687807967
arunachal-pradesh,2018,Q4,Recharge & bill payments,TOTAL,97751,20662691.88231328
arunachal-pradesh,2018,Q4,Peer-to-peer payments,TOTAL,68169,468831493.2328036
arunachal-pradesh,2018,Q4,Merchant payments,TOTAL,7726,11998974.1040326
arunachal-pradesh,2018,Q4,Financial Services,TOTAL,561,100597.90379906222
arunachal-pradesh,2018,Q4,Others,TOTAL,2222,2446271.9688117937
arunachal-pradesh,2019,Q1,Recharge & bill payments,TOTAL,121303,26796894.998233315
arunachal-pradesh,2019,Q1,Peer-to-peer payments,TOTAL,93494,568554821.4456317
arunachal-pradesh,2019,Q1,Merchant payments,TOTAL,9214,11727218.401334248
arunachal-pradesh,2019,Q1,Financial Services,TOTAL,256,140622.87093631705
arunachal-pradesh,2019,Q1,Others,TOTAL,2239,2730548.597814082
arunachal-pradesh,2019,Q2,Recharge & bill payments,TOTAL,131988,30420803.41271234
arunachal-pradesh,2019,Q2,Peer-to-peer payments,TOTAL,106527,704237943.4054435
arunachal-pradesh,2019,Q2,Merchant payments,TOTAL,16828,13955724.130712911
arunachal-pradesh,2019,Q2,Financial Services,TOTAL,267,160660.8821362781
arunachal-pradesh,2019,Q2,Others,TOTAL,3046,3880742.524023137
arunachal-pradesh,2019,Q3,Recharge & bill payments,TOTAL,216228,50946104.94289842
arunachal-pradesh,2019,Q3,Peer-to-peer payments,TOTAL,133484,841037395.2474606
arunachal-pradesh,2019,Q3,Merchant payments,TOTAL,16900,17178248.07427002
arunachal-pradesh,2019,Q3,Financial Services,TOTAL,864,64089.11350267195
arunachal-pradesh,2019,Q3,Others,TOTAL,2758,3419197.4177385764
arunachal-pradesh,2019,Q4,Recharge & bill payments,TOTAL,259183,63516906.09060433
arunachal-pradesh,2019,Q4,Peer-to-peer payments,TOTAL,177833,1100137447.9340453
arunachal-pradesh,2019,Q4,Merchant payments,TOTAL,19769,23192271.69157681
arunachal-pradesh,2019,Q4,Financial Services,TOTAL,314,305379.7987782319
arunachal-pradesh,2019,Q4,Others,TOTAL,2376,3421174.01227797
arunachal-pradesh,2020,Q1,Recharge & bill payments,TOTAL,329834,86011654.77474582
arunachal-pradesh,2020,Q1,Peer-to-peer payments,TOTAL,203429,1263912288.4066367
arunachal-pradesh,2020,Q1,Merchant payments,TOTAL,31181,28553052.1339188
arunachal-pradesh,2020,Q1,Financial Services,TOTAL,470,337812.948161694
arunachal-pradesh,2020,Q1,Others,TOTAL,2261,2943873.066683824
arunachal-pradesh,2020,Q2,Recharge & bill payments,TOTAL,522495,145198528.22961134
arunachal-pradesh,2020,Q2,Peer-to-peer payments,TOTAL,247861,1630654426.0441835
arunachal-pradesh,2020,Q2,Merchant payments,TOTAL,35169,46446966.61244752
arunachal-pradesh,2020,Q2,Financial Services,TOTAL,1310,2655507.6964110374
arunachal-pradesh,2020,Q2,Others,TOTAL,1939,1761404.4023099935
arunachal-pradesh,2020,Q3,Recharge & bill payments,TOTAL,514907,153463816.21184397
arunachal-pradesh,2020,Q3,Peer-to-peer payments,TOTAL,370418,2361603431.37578
arunachal-pradesh,2020,Q3,Merchant payments,TOTAL,72736,88145178.69272713
arunachal-pradesh,2020,Q3,Financial Services,TOTAL,1761,4030599.9171272414
arunachal-pradesh,2020,Q3,Others,TOTAL,3005,2695539.3607389224
arunachal-pradesh,2020,Q4,Peer-to-peer payments,TOTAL,522019,3254744938.4105625
arunachal-pradesh,2020,Q4,Recharge & bill payments,TOTAL,513895,152389181.21743062
arunachal-pradesh,2020,Q4,Merchant payments,TOTAL,167387,156682926.02384603
arunachal-pradesh,2020,Q4,Financial Services,TOTAL,1749,2391651.8783250954
arunachal-pradesh,2020,Q4,Others,TOTAL,4079,4055324.315454754
arunachal-pradesh,2021,Q1,Peer-to-peer payments,TOTAL,566209,3460488558.9436507
arunachal-pradesh,2021,Q1,Recharge & bill payments,TOTAL,450649,142358376.9003836
arunachal-pradesh,2021,Q1,Merchant payments,TOTAL,155966,204958020.0891498
arunachal-pradesh,2021,Q1,Financial Services,TOTAL,1558,2672460.4740365944
arunachal-pradesh,2021,Q1,Others,TOTAL,3074,3301662.609423133
arunachal-pradesh,2021,Q2,Peer-to-peer payments,TOTAL,762946,4000960152.0755496
arunachal-pradesh,2021,Q2,Recharge & bill payments,TOTAL,556680,165579844.25105897
arunachal-pradesh,2021,Q2,Merchant payments,TOTAL,243375,283709438.5363142
arunachal-pradesh,2021,Q2,Financial Services,TOTAL,1582,2761076.7934988844
arunachal-pradesh,2021,Q2,Others,TOTAL,3755,3415105.337960117
arunachal-pradesh,2021,Q3,Peer-to-peer payments,TOTAL,986088,5033603845.032885
arunachal-pradesh,2021,Q3,Recharge & bill payments,TOTAL,600102,187390578.30403772
arunachal-pradesh,2021,Q3,Merchant payments,TOTAL,314658,449869060.7842621
arunachal-pradesh,2021,Q3,Financial Services,TOTAL,1934,3348547.8272713376
arunachal-pradesh,2021,Q3,Others,TOTAL,4185,3912143.3503634185
arunachal-pradesh,2021,Q4,Peer-to-peer payments,TOTAL,1227616,6022733378.120082
arunachal-pradesh,2021,Q4,Recharge & bill payments,TOTAL,633248,207784816.33218512
arunachal-pradesh,2021,Q4,Merchant payments,TOTAL,521447,704195694.9939187
arunachal-pradesh,2021,Q4,Financial Services,TOTAL,2386,3933557.2795471298
arunachal-pradesh,2021,Q4,Others,TOTAL,5901,4862905.885615055
arunachal-pradesh,2022,Q1,Peer-to-peer payments,TOTAL,1403584,6670641250.45945
arunachal-pradesh,2022,Q1,Merchant payments,TOTAL,720803,917155358.717718
arunachal-pradesh,2022,Q1,Recharge & bill payments,TOTAL,670576,231933129.00412333
arunachal-pradesh,2022,Q1,Financial Services,TOTAL,3053,3359625.792926075
arunachal-pradesh,2022,Q1,Others,TOTAL,6052,5002264.113148138
arunachal-pradesh,2022,Q2,Peer-to-peer payments,TOTAL,1751568,7627061474.687715
arunachal-pradesh,2022,Q2,Merchant payments,TOTAL,1108353,1255513517.3639429
